"","Leto","Regija","Stevilo"
"1","2007/08","Pomurska",5214
"2","2007/08","Podravska",13889
"3","2007/08","Koroška",3563
"4","2007/08","Savinjska",12223
"5","2007/08","Zasavska",2025
"6","2007/08","Posavska",3199
"7","2007/08","Jugovzhodna Slovenija",7100
"8","2007/08","Osrednjeslovenska",22842
"9","2007/08","Gorenjska",9792
"10","2007/08","Primorsko-notranjska",2177
"11","2007/08","Goriška",5262
"12","2007/08","Obalno-kraška",4278
"13","2008/09","Pomurska",4960
"14","2008/09","Podravska",13291
"15","2008/09","Koroška",3344
"16","2008/09","Savinjska",11648
"17","2008/09","Zasavska",1854
"18","2008/09","Posavska",3043
"19","2008/09","Jugovzhodna Slovenija",6890
"20","2008/09","Osrednjeslovenska",22102
"21","2008/09","Gorenjska",9140
"22","2008/09","Primorsko-notranjska",2149
"23","2008/09","Goriška",5079
"24","2008/09","Obalno-kraška",3965
"25","2009/10","Pomurska",6618
"26","2009/10","Podravska",12357
"27","2009/10","Koroška",5233
"28","2009/10","Savinjska",10382
"29","2009/10","Zasavska",1130
"30","2009/10","Posavska",2572
"31","2009/10","Jugovzhodna Slovenija",6254
"32","2009/10","Osrednjeslovenska",22011
"33","2009/10","Gorenjska",7149
"34","2009/10","Primorsko-notranjska",1492
"35","2009/10","Goriška",5939
"36","2009/10","Obalno-kraška",3809
"37","2010/11","Pomurska",4645
"38","2010/11","Podravska",12390
"39","2010/11","Koroška",3199
"40","2010/11","Savinjska",10900
"41","2010/11","Zasavska",1796
"42","2010/11","Posavska",2817
"43","2010/11","Jugovzhodna Slovenija",6327
"44","2010/11","Osrednjeslovenska",20918
"45","2010/11","Gorenjska",8647
"46","2010/11","Primorsko-notranjska",1993
"47","2010/11","Goriška",4823
"48","2010/11","Obalno-kraška",3662
"49","2011/12","Pomurska",4443
"50","2011/12","Podravska",12176
"51","2011/12","Koroška",3047
"52","2011/12","Savinjska",10694
"53","2011/12","Zasavska",1726
"54","2011/12","Posavska",2736
"55","2011/12","Jugovzhodna Slovenija",6022
"56","2011/12","Osrednjeslovenska",20339
"57","2011/12","Gorenjska",8268
"58","2011/12","Primorsko-notranjska",2010
"59","2011/12","Goriška",4726
"60","2011/12","Obalno-kraška",3562
"61","2012/13","Pomurska",4262
"62","2012/13","Podravska",11800
"63","2012/13","Koroška",2997
"64","2012/13","Savinjska",10605
"65","2012/13","Zasavska",1636
"66","2012/13","Posavska",2692
"67","2012/13","Jugovzhodna Slovenija",5771
"68","2012/13","Osrednjeslovenska",19853
"69","2012/13","Gorenjska",8263
"70","2012/13","Primorsko-notranjska",2011
"71","2012/13","Goriška",4584
"72","2012/13","Obalno-kraška",3535
"73","2013/14","Pomurska",4104
"74","2013/14","Podravska",11488
"75","2013/14","Koroška",3013
"76","2013/14","Savinjska",10182
"77","2013/14","Zasavska",1619
"78","2013/14","Posavska",2667
"79","2013/14","Jugovzhodna Slovenija",5554
"80","2013/14","Osrednjeslovenska",19991
"81","2013/14","Gorenjska",8048
"82","2013/14","Primorsko-notranjska",1897
"83","2013/14","Goriška",4481
"84","2013/14","Obalno-kraška",3502
"85","2014/15","Pomurska",3987
"86","2014/15","Podravska",10995
"87","2014/15","Koroška",2829
"88","2014/15","Savinjska",10043
"89","2014/15","Zasavska",1538
"90","2014/15","Posavska",2583
"91","2014/15","Jugovzhodna Slovenija",5331
"92","2014/15","Osrednjeslovenska",19064
"93","2014/15","Gorenjska",7871
"94","2014/15","Primorsko-notranjska",1868
"95","2014/15","Goriška",4373
"96","2014/15","Obalno-kraška",3422
"97","2015/16","Pomurska",3889
"98","2015/16","Podravska",10759
"99","2015/16","Koroška",2840
"100","2015/16","Savinjska",9761
"101","2015/16","Zasavska",2116
"102","2015/16","Posavska",2811
"103","2015/16","Jugovzhodna Slovenija",5277
"104","2015/16","Osrednjeslovenska",18748
"105","2015/16","Gorenjska",7721
"106","2015/16","Primorsko-notranjska",1813
"107","2015/16","Goriška",4336
"108","2015/16","Obalno-kraška",3398
"109","2016/17","Pomurska",3725
"110","2016/17","Podravska",10576
"111","2016/17","Koroška",2720
"112","2016/17","Savinjska",9543
"113","2016/17","Zasavska",2026
"114","2016/17","Posavska",2765
"115","2016/17","Jugovzhodna Slovenija",5289
"116","2016/17","Osrednjeslovenska",18589
"117","2016/17","Gorenjska",7549
"118","2016/17","Primorsko-notranjska",1808
"119","2016/17","Goriška",4279
"120","2016/17","Obalno-kraška",3386
"121","2017/18","Pomurska",3651
"122","2017/18","Podravska",10666
"123","2017/18","Koroška",2602
"124","2017/18","Savinjska",9493
"125","2017/18","Zasavska",1962
"126","2017/18","Posavska",2808
"127","2017/18","Jugovzhodna Slovenija",5206
"128","2017/18","Osrednjeslovenska",18644
"129","2017/18","Gorenjska",7595
"130","2017/18","Primorsko-notranjska",1806
"131","2017/18","Goriška",4188
"132","2017/18","Obalno-kraška",3355
