"","Regija","Leto","Stevilo"
"1","Pomurska",2007,"122068"
"2","Pomurska",2008,"121824"
"3","Pomurska",2009,"119537"
"4","Pomurska",2010,"119548"
"5","Pomurska",2011,"119145"
"6","Pomurska",2012,"118988"
"7","Pomurska",2013,"118022"
"8","Pomurska",2014,"117133"
"9","Pomurska",2015,"116670"
"10","Pomurska",2016,"116078"
"11","Pomurska",2017,"115477"
"12","Podravska",2007,"319706"
"13","Podravska",2008,"321781"
"14","Podravska",2009,"322900"
"15","Podravska",2010,"323343"
"16","Podravska",2011,"323119"
"17","Podravska",2012,"323534"
"18","Podravska",2013,"323238"
"19","Podravska",2014,"323328"
"20","Podravska",2015,"323356"
"21","Podravska",2016,"322553"
"22","Podravska",2017,"322043"
"23","Koroška",2007,"73619"
"24","Koroška",2008,"73714"
"25","Koroška",2009,"72481"
"26","Koroška",2010,"72812"
"27","Koroška",2011,"72494"
"28","Koroška",2012,"72364"
"29","Koroška",2013,"72100"
"30","Koroška",2014,"71546"
"31","Koroška",2015,"71303"
"32","Koroška",2016,"71040"
"33","Koroška",2017,"70761"
"34","Savinjska",2007,"258480"
"35","Savinjska",2008,"261243"
"36","Savinjska",2009,"258845"
"37","Savinjska",2010,"260025"
"38","Savinjska",2011,"259726"
"39","Savinjska",2012,"260253"
"40","Savinjska",2013,"260217"
"41","Savinjska",2014,"259853"
"42","Savinjska",2015,"253975"
"43","Savinjska",2016,"254318"
"44","Savinjska",2017,"254761"
"45","Zasavska",2007,"45229"
"46","Zasavska",2008,"45226"
"47","Zasavska",2009,"44750"
"48","Zasavska",2010,"44706"
"49","Zasavska",2011,"44222"
"50","Zasavska",2012,"43926"
"51","Zasavska",2013,"43502"
"52","Zasavska",2014,"42983"
"53","Zasavska",2015,"57711"
"54","Zasavska",2016,"57404"
"55","Zasavska",2017,"57280"
"56","Posavska",2007,"70058"
"57","Posavska",2008,"70353"
"58","Posavska",2009,"69900"
"59","Posavska",2010,"70192"
"60","Posavska",2011,"70167"
"61","Posavska",2012,"70164"
"62","Posavska",2013,"70211"
"63","Posavska",2014,"69958"
"64","Posavska",2015,"75619"
"65","Posavska",2016,"75711"
"66","Posavska",2017,"75544"
"67","Jugovzhodna Slovenija",2007,"140258"
"68","Jugovzhodna Slovenija",2008,"141547"
"69","Jugovzhodna Slovenija",2009,"141166"
"70","Jugovzhodna Slovenija",2010,"142092"
"71","Jugovzhodna Slovenija",2011,"142483"
"72","Jugovzhodna Slovenija",2012,"142680"
"73","Jugovzhodna Slovenija",2013,"142509"
"74","Jugovzhodna Slovenija",2014,"142405"
"75","Jugovzhodna Slovenija",2015,"142373"
"76","Jugovzhodna Slovenija",2016,"142566"
"77","Jugovzhodna Slovenija",2017,"142711"
"78","Osrednjeslovenska",2007,"503935"
"79","Osrednjeslovenska",2008,"508607"
"80","Osrednjeslovenska",2009,"521965"
"81","Osrednjeslovenska",2010,"529646"
"82","Osrednjeslovenska",2011,"533213"
"83","Osrednjeslovenska",2012,"536484"
"84","Osrednjeslovenska",2013,"541718"
"85","Osrednjeslovenska",2014,"546314"
"86","Osrednjeslovenska",2015,"534518"
"87","Osrednjeslovenska",2016,"537023"
"88","Osrednjeslovenska",2017,"539672"
"89","Gorenjska",2007,"199902"
"90","Gorenjska",2008,"201254"
"91","Gorenjska",2009,"201779"
"92","Gorenjska",2010,"202903"
"93","Gorenjska",2011,"203427"
"94","Gorenjska",2012,"204057"
"95","Gorenjska",2013,"203984"
"96","Gorenjska",2014,"203894"
"97","Gorenjska",2015,"203850"
"98","Gorenjska",2016,"203838"
"99","Gorenjska",2017,"203800"
"100","Primorsko-notranjska",2007,"51483"
"101","Primorsko-notranjska",2008,"52083"
"102","Primorsko-notranjska",2009,"51728"
"103","Primorsko-notranjska",2010,"52217"
"104","Primorsko-notranjska",2011,"52287"
"105","Primorsko-notranjska",2012,"52387"
"106","Primorsko-notranjska",2013,"52382"
"107","Primorsko-notranjska",2014,"52449"
"108","Primorsko-notranjska",2015,"52538"
"109","Primorsko-notranjska",2016,"52523"
"110","Primorsko-notranjska",2017,"52582"
"111","Goriška",2007,"119477"
"112","Goriška",2008,"120329"
"113","Goriška",2009,"118533"
"114","Goriška",2010,"119080"
"115","Goriška",2011,"119146"
"116","Goriška",2012,"119236"
"117","Goriška",2013,"119002"
"118","Goriška",2014,"118374"
"119","Goriška",2015,"118188"
"120","Goriška",2016,"118064"
"121","Goriška",2017,"117747"
"122","Obalno-kraška",2007,"106162"
"123","Obalno-kraška",2008,"107905"
"124","Obalno-kraška",2009,"108778"
"125","Obalno-kraška",2010,"110412"
"126","Obalno-kraška",2011,"110760"
"127","Obalno-kraška",2012,"111423"
"128","Obalno-kraška",2013,"111936"
"129","Obalno-kraška",2014,"112848"
"130","Obalno-kraška",2015,"112773"
"131","Obalno-kraška",2016,"113070"
"132","Obalno-kraška",2017,"113517"
